product_id,year,month,item_count,transaction_value
1,2014,1,100,2000
2,2014,3,200,1500
3,2014,4,300,1500
4,2014,5,150,1200
5,2014,6,250,3010
6,2015,4,130,1300
7,2015,3,200,1300
8,2015,2,140,4000
9,2015,6,230,3000
10,2015,5,130,2300
11,2022,11,100,3000
12,2022,12,120,2300
13,2022,4,130,2500
14,2022,5,124,4500
15,2013,12,125,2300
16,2013,4,120,4500
17,2013,7,130,1200
18,2011,8,145,3000
19,2011,4,300,23000
20,2011,11,250,2344
21,2012,3,240,24555
22,2012,10,340,5600
23,2012,9,350,1345
24,2006,8,560,1200
25,2006,12,120,1244
26,2006,3,330,1200
27,2007,5,400,2500
28,2007,7,350,2300
29,2007,1,340,5600
30,2007,2,450,3400
31,2018,4,230,670
32,2018,12,456,1345
33,2018,11,300,1567
34,2018,4,500,2000
35,2018,7,400,2000
36,2020,9,120,2000
37,2020,2,150,15000
38,2020,4,160,4500
39,2023,6,230,4500
